user,Subject,text,cleaned_text,sentiment_score,sentiment_category
tpsummers,Donald Trump,So-called “Liberal” media has spent the last 3.5 years insisting to the Black Community that Donald J. Trump is a “racist…,socalled liberal media spent last years insisting black community donald j trump racist,-0.08888888888888889,Neutral
LinneyAnnette,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",biden couldnt fill high school gym donald trump behind polls,-0.12000000000000001,Neutral
jamieob256,Donald Trump,I don’t want someone in the WH who wants to suppress the votes of our military. That’s why I’m votin…,dont want someone wh wants suppress votes military thats im votin,0.05,Neutral
Dalton642,Donald Trump,It’s very on brand with today’s Republican Party to choose a MAGA rally with Donald Trump over a much larger television audien…,brand todays republican party choose maga rally donald trump much larger television audien,0.0,Neutral
iamnottense,Donald Trump,There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…,greater supporter donald trump world mark zuckerberg one done elect,0.65,Positive
Sissymoon1956Ce,Donald Trump,There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…,greater supporter donald trump world mark zuckerberg one done elect,0.65,Positive
kat_pep_,Donald Trump," As President Trump makes a hurried final push for reelection, he is relying not only on his campaign staff but on government offic…",president trump makes hurried final push reelection relying campaign staff government offic,0.0,Neutral
maggieveeus,Donald Trump," ""17"" posts today about the ""Great Reset"", which is a plan to enslave all humanity though health dictatorships.Like we see…",posts today great reset plan enslave humanity though health dictatorshipslike see,0.8,Positive
eliseambrose,Donald Trump,There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…,greater supporter donald trump world mark zuckerberg one done elect,0.65,Positive
DawnLenhardt,Donald Trump,Remember... it’s not just Donald Trump being voted out.... it’s his entire family and garbage administration that’ll be ki…,remember donald trump voted entire family garbage administration thatll ki,0.0,Neutral
caraleeacs,Donald Trump," It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascist…",friday october one citizen call removal office legal means impeached fascist,0.2,Neutral
jhentaichrist,Donald Trump,Donald Trump is not running against Joe Biden he's running against democracy the election and the American voter,donald trump running joe biden hes running democracy election american voter,0.0,Neutral
JBellSATX,Donald Trump," ""Trump's insistence that we are 'rounding the corner' on the virus is nonsensical. As is his assertion that even if you do get Cov…",trumps insistence rounding corner virus nonsensical assertion even get cov,0.0,Neutral
apexnerd,Donald Trump,There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…,greater supporter donald trump world mark zuckerberg one done elect,0.65,Positive
igbell2,Donald Trump,“My choice in the 2020 general election is between a personally offensive outsider who signs good policies into law and a…,choice general election personally offensive outsider signs good policies law,0.25,Neutral
sublimeviolets,Donald Trump,Show this clip to all of the people you know who support Donald Trump and claim he isn’t a racist.Decades of documentatio…,show clip people know support donald trump claim isnt racistdecades documentatio,0.0,Neutral
RoyRoyrd,Donald Trump,"  Thanks to Donald Trump turning the corner, he could not see the 86,401 new cases of CO… ",thanks donald trump turning corner could see new cases co,0.16818181818181818,Neutral
DePernaProperty,Donald Trump,The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached…,fbi investigating hunter bidens overseas business deals december donald trump impeached,0.0,Neutral
blue_rose_nc,Donald Trump," “This is why we, two Orthodox American-Israelis and former IDF soldiers who care deeply about Israel’s safety, will be vot…",two orthodox americanisraelis former idf soldiers care deeply israels safety vot,-0.06666666666666667,Neutral
tbdnonymous,Donald Trump,Coronavirus response shows Donald Trump's failure of leadership  via,coronavirus response shows donald trumps failure leadership via,-0.31666666666666665,Negative
halfwayhippie,Donald Trump,The Independent:  airs 80-second supercut of 's racist remarks over the past 30 years.…,independent airs second supercut racist remarks past years,-0.08333333333333333,Neutral
CrzyTmsJimB,Donald Trump,Donald Trump has not seen it as his duty to represent the majority of Americans who did not vote for him. Joe Biden would…,donald trump seen duty represent majority americans vote joe biden would,0.0,Neutral
IfkaTatar,Donald Trump," Study Finds TheSingle Largest Driverof #Coronavirus Misinformation, #Lies, &amp; #HOAX #Denying ?The  REPUBLICANS Don…",study finds thesingle largest driverof coronavirus misinformation lies amp hoax denying republicans,0.0,Neutral
BazileMusic,Donald Trump," Republicans came down harder on Alexandria Ocasio-Cortez for wearing $14,000 worth of clothing in Vanity Fair than they d…",republicans came harder alexandria ocasiocortez wearing worth clothing vanity fair,0.3,Neutral
DaveSayz,Donald Trump,White liberals demonizing Trump a racist also forgot...Whitney Houston was close to Donald Trump. Trump presented Whitney…,white liberals demonizing trump racist also forgotwhitney houston close donald trump trump presented whitney,0.0,Neutral
katona_barbara,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…",donald trump jr arent talking deaths oh oh number almost nothing weve gott,0.0,Neutral
FutureGirl2073,Donald Trump,"   Here’s another source similar to yours, but they also include how this sud… ",heres another source similar also include sud,0.0,Neutral
wbtegra,Donald Trump,David Letterman calling Donald Trump a straight-up racist. In 2012...,david letterman calling donald trump straightup racist,0.0,Neutral
MicheleDianeDR,Donald Trump,At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine…,precise moment donald trump impeached expressing concern potential hunter biden corruption ukraine,0.2,Neutral
canoetipper_k,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",biden couldnt fill high school gym donald trump behind polls,-0.12000000000000001,Neutral
ed_mac33,Donald Trump," I believe in science.Donald Trump doesn't.It's that simple, folks.",believe sciencedonald trump doesntits simple folks,0.0,Neutral
Pagecamper1,Donald Trump,Remember if Democrats vote in massive numbers . Donald Trump cannot contest the election.,remember democrats vote massive numbers donald trump contest election,0.0,Neutral
SusanVajda,Donald Trump,"  I don’t want Hunter Biden’s laptop. I want Donald Trump’s taxes, his medical records, Ivanka’s and Jared…",dont want hunter bidens laptop want donald trumps taxes medical records ivankas jared,0.0,Neutral
HoshinoLady,Donald Trump,"  Perhaps the biggest shock of all does not come from Trump, but from his tens of millions supporters and th…",perhaps biggest shock come trump tens millions supporters th,0.0,Neutral
Shelsyy_S,Donald Trump," Donald Trump and Republicans had a choice: Take charge of this virus and pass a relief bill, or push through a Supreme Co…",donald trump republicans choice take charge virus pass relief bill push supreme co,0.0,Neutral
Meidas_Steve,Donald Trump," The same people who are outraged at AOC for slipping into a borrowed $14,000 outfit for a Vanity Fair photo shoot are…",people outraged aoc slipping borrowed outfit vanity fair photo shoot,-0.10000000000000002,Neutral
OpenMindPsychRN,Donald Trump,There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…,greater supporter donald trump world mark zuckerberg one done elect,0.65,Positive
lordjakobi,Donald Trump,Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via,pollak shining successes president donald trumps first term via,0.25,Neutral
realdonaIdump,Donald Trump," Donald Trump, Jr., laughing, says the 1,004 Americans who died of COVID-19 over the past 24 hours are ""almost nothing.""…",donald trump jr laughing says americans died covid past hours almost nothing,-0.25,Neutral
sharonmwinner,Donald Trump," I did NOT fight cancer twice and win, battle Lupus every day to live through 4 more years of Donald Trump.He will DEST…",fight cancer twice win battle lupus every day live years donald trumphe dest,0.4681818181818182,Positive
HuffPostEnt,Donald Trump,The president's son delivered a whopper during a Fox News interview.,presidents son delivered whopper fox news interview,0.0,Neutral
Lynnjoh16722095,Donald Trump,Lil Jon has the BEST response when asked to support Donald Trump's re-election like Lil Wayne and Lil Pump.  …,lil jon best response asked support donald trumps reelection like lil wayne lil pump,1.0,Positive
MarifaP,Donald Trump,"  ""Just the facts, ma'am""Thanks to lyin' Donald Trump-Over 23M Americans on unemployment!Tens of thousands of…",facts maamthanks lyin donald trumpover americans unemploymenttens thousands,0.0,Neutral
NewsroomJim,Donald Trump,‘It is currently unclear whether Facebook is giving Donald Trump an unfair advantage..but it is abundantly clear Facebo…,currently unclear whether facebook giving donald trump unfair advantagebut abundantly clear facebo,-0.13333333333333333,Neutral
Upson4WV,Donald Trump,At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine…,precise moment donald trump impeached expressing concern potential hunter biden corruption ukraine,0.2,Neutral
chilakeel,Donald Trump," ""It's like a gangster culture,"" Robert De Niro says of Donald Trump's presidency. ""He has no concept about what the right thing…",like gangster culture robert de niro says donald trumps presidency concept right thing,0.2857142857142857,Neutral
Angel2daMax,Donald Trump,Americans plan widespread protests if Donald Trump interferes with election || Via: Reuters,americans plan widespread protests donald trump interferes election via reuters,0.0,Neutral
supapally,Donald Trump," Trump is going to try to make his re-election his final giant con, losing the election but keeping the presidency. Massive l…",trump going try make reelection final giant con losing election keeping presidency massive l,0.0,Neutral
rob0349,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…",senator collins asked three times last night supports donald trumps reelection refused answer eac,0.0,Neutral
Fatboy_ElNegro,Donald Trump,Donald Trump has gotten:-$885 million in subsidies for his real estate empire-$287 million of his debt canceled-A $72.9…,donald trump gotten million subsidies real estate empire million debt canceleda,0.2,Neutral
RajChennai7,Donald Trump," I support Donald Trump, do you?",support donald trump,0.0,Neutral
timpeters420,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…",donald trump jr arent talking deaths oh oh number almost nothing weve gott,0.0,Neutral
suemayonline,Donald Trump,🇺🇸🇺🇸🇺🇸God Bless America &amp; God Bless Donald J. Trump! 🇺🇸🇺🇸🇺🇸#RNC2020  #Trump2020 #KAG #MAGA  #RedNationRising …,god bless america amp god bless donald j trump rnc trump kag maga rednationrising,0.0,Neutral
FentonHolland,Donald Trump," It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascist…",friday october one citizen call removal office legal means impeached fascist,0.2,Neutral
ANN13951880,Donald Trump,This is Donald Trump’s last Thursday as president.,donald trumps last thursday president,0.0,Neutral
salthegal123,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…",donald trump jr arent talking deaths oh oh number almost nothing weve gott,0.0,Neutral
WREN_Nigeria,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",biden couldnt fill high school gym donald trump behind polls,-0.12000000000000001,Neutral
SandHillInsight,Donald Trump,"  I don’t want Hunter Biden’s laptop. I want Donald Trump’s taxes, his medical records, Ivanka’s and Jared…",dont want hunter bidens laptop want donald trumps taxes medical records ivankas jared,0.0,Neutral
PR4GM47IC,Donald Trump," If you want to primary Biden &amp; Harris in 2024 after they beat Donald Trump, your best bet is to join the #YangGang, &amp; we'd l…",want primary biden amp harris beat donald trump best bet join yanggang amp wed l,0.7,Positive
jeffl76,Donald Trump," . endorses #BidenHarris2020, stating that they will “restore steadiness and civility to the White House, and thus…",endorses bidenharris stating restore steadiness civility white house thus,0.0,Neutral
Karen10290453,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",biden couldnt fill high school gym donald trump behind polls,-0.12000000000000001,Neutral
Cozy1950,Donald Trump," “This is the entire Republican strategy in 2020: not to win the election but to make the winner unknowable, so that Trump ca…",entire republican strategy win election make winner unknowable trump ca,0.4,Positive
WREN_Nigeria,Donald Trump,The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached…,fbi investigating hunter bidens overseas business deals december donald trump impeached,0.0,Neutral
JerryTravone,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",biden couldnt fill high school gym donald trump behind polls,-0.12000000000000001,Neutral
cindy_mcphee,Donald Trump,💥 POLL 💥Who are you voting for in the Presidential Election?President Trump already has my vote👍…,poll voting presidential electionpresident trump already vote,0.0,Neutral
MarySager0622,Donald Trump,There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…,greater supporter donald trump world mark zuckerberg one done elect,0.65,Positive
sunshine_toni,Donald Trump,America’s reputation abroad has plunged during Donald Trump’s presidency. Confidence that he will do the right thing in w…,americas reputation abroad plunged donald trumps presidency confidence right thing w,0.2857142857142857,Neutral
armanwalker,Donald Trump,Fact check here:,fact check,0.0,Neutral
RGinHarlem,Donald Trump,Please tell me y’all aren’t taking Lil Wayne seriously! Donald Trump said that he loves ❤️ the uneducated this is not surp…,please tell yall arent taking lil wayne seriously donald trump said loves uneducated surp,-0.3333333333333333,Negative
LesterMoe6,Donald Trump,Fascist greedy grifter Trump screws the middle class and poor again 🤬👉he wants to completely unleash greedy corporations — and…,fascist greedy grifter trump screws middle class poor wants completely unleash greedy corporations,-0.025,Neutral
CiAnDy3,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",biden couldnt fill high school gym donald trump behind polls,-0.12000000000000001,Neutral
BARB4TRUMP,Donald Trump,Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via,pollak shining successes president donald trumps first term via,0.25,Neutral
Jason_9905,Donald Trump,Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via,pollak shining successes president donald trumps first term via,0.25,Neutral
audiojoe13,Donald Trump,. on Lil Wayne endorsing Trump: “I’m really sick of you gremlin degenerates who come out here and push…,lil wayne endorsing trump im really sick gremlin degenerates come push,-0.7142857142857143,Negative
1473music,Donald Trump,There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…,greater supporter donald trump world mark zuckerberg one done elect,0.65,Positive
Pagecamper1,Donald Trump,This is Donald Trump’s last Thursday as president.,donald trumps last thursday president,0.0,Neutral
WilliamMMcKee,Donald Trump,Remember... it’s not just Donald Trump being voted out.... it’s his entire family and garbage administration that’ll be ki…,remember donald trump voted entire family garbage administration thatll ki,0.0,Neutral
DianeEugenio,Donald Trump,Donald Trump has not seen it as his duty to represent the majority of Americans who did not vote for him. Joe Biden would…,donald trump seen duty represent majority americans vote joe biden would,0.0,Neutral
ResistOrganize,Donald Trump,‘Shoot Black People’ is the battle cry Right Wing Extremists chant in the name of Donald Trump.  Is this the kind of g…,shoot black people battle cry right wing extremists chant name donald trump kind g,0.2396825396825397,Neutral
louisfarber,Donald Trump,"“The document, a 64-page composition that was later disseminated by close associates of President Donald Trump, app… ",document page composition later disseminated close associates president donald trump app,0.0,Neutral
ForsmanJustin,Donald Trump,Three Ballots turned in tonight for Justin Forsman and Donald J. Trump.,three ballots turned tonight justin forsman donald j trump,0.0,Neutral
redirectloop,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…",senator collins asked three times last night supports donald trumps reelection refused answer eac,0.0,Neutral
fbelad,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",biden couldnt fill high school gym donald trump behind polls,-0.12000000000000001,Neutral
DianeEugenio,Donald Trump,Those who didn't vote in 2016 are showing up early in droves — and more are Democrats.,didnt vote showing early droves democrats,0.1,Neutral
cindy_mcphee,Donald Trump,💥 POLL 💥Who are you voting for in the Presidential Election?President Trump already has my vote👍…,poll voting presidential electionpresident trump already vote,0.0,Neutral
2013_Lynne,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",biden couldnt fill high school gym donald trump behind polls,-0.12000000000000001,Neutral
ChristopherOrp1,Donald Trump,Mainstream media and their friends in Silicon Valley have covered up and actively suppressed the Hunter Biden corruption…,mainstream media friends silicon valley covered actively suppressed hunter biden corruption,-0.13333333333333333,Neutral
PMIA7,Donald Trump," Trump is going to try to make his re-election his final giant con, losing the election but keeping the presidency. Massive l…",trump going try make reelection final giant con losing election keeping presidency massive l,0.0,Neutral
Freedom77027217,Donald Trump,“My choice in the 2020 general election is between a personally offensive outsider who signs good policies into law and a…,choice general election personally offensive outsider signs good policies law,0.25,Neutral
NadelleWilson,Donald Trump," CIVIL FRAUD INDICTMENTS LIKELYWith SCOTUS opening the complete tax record to SDNY, an immediate charge is predicted. #…",civil fraud indictments likelywith scotus opening complete tax record sdny immediate charge predicted,0.1,Neutral
NomadCovfefe,Donald Trump,Mainstream media and their friends in Silicon Valley have covered up and actively suppressed the Hunter Biden corruption…,mainstream media friends silicon valley covered actively suppressed hunter biden corruption,-0.13333333333333333,Neutral
LOYALFAN1,Donald Trump,NEW VIDEO! #PleaseSaveTheseChildren  If you don't have a bright line for crimes against children you don't have a line.…,new video pleasesavethesechildren dont bright line crimes children dont line,0.4181818181818182,Positive
margaretjg24,Donald Trump," ""It's like a gangster culture,"" Robert De Niro says of Donald Trump's presidency. ""He has no concept about what the right thing…",like gangster culture robert de niro says donald trumps presidency concept right thing,0.2857142857142857,Neutral
mediccaptfm,Donald Trump,Pissed off young people have the power to defeat Donald Trump. Fucking vote.,pissed young people power defeat donald trump fucking vote,-0.25,Neutral
Patrick19372738,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",biden couldnt fill high school gym donald trump behind polls,-0.12000000000000001,Neutral
IamLucyRicardo,Donald Trump,Fox News cut away from Donald Trump's campaign rally in Florida and aired Joe Biden's campaign rally speech in full.,fox news cut away donald trumps campaign rally florida aired joe bidens campaign rally speech full,0.22499999999999998,Neutral
Jesseba67848426,Donald Trump,Donald Trump 2020 the best President ever.,donald trump best president ever,1.0,Positive
Cuds_1246,Donald Trump,Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via,pollak shining successes president donald trumps first term via,0.25,Neutral
ASatMV,Donald Trump," It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascist…",friday october one citizen call removal office legal means impeached fascist,0.2,Neutral
Lauryn2000,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…",senator collins asked three times last night supports donald trumps reelection refused answer eac,0.0,Neutral
BurnsBuLinda91,Donald Trump,The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached…,fbi investigating hunter bidens overseas business deals december donald trump impeached,0.0,Neutral
wbtegra,Donald Trump,There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…,greater supporter donald trump world mark zuckerberg one done elect,0.65,Positive
shrstraker,Donald Trump,"Jack Nicklaus Says He Voted For Donald Trump, Encourages Others To As Well If They Don’t Want Country To ‘Evolve In… ",jack nicklaus says voted donald trump encourages others well dont want country evolve,0.0,Neutral
cindy_mcphee,Donald Trump,💥 POLL 💥Who are you voting for in the Presidential Election?President Trump already has my vote👍…,poll voting presidential electionpresident trump already vote,0.0,Neutral
kmctee,Donald Trump," In conjunction with The Lincoln Project, San Antonio Spurs' Gregg Popovich--who has been an outspoken critic of President Do…",conjunction lincoln project san antonio spurs gregg popovichwho outspoken critic president,0.0,Neutral
JoeForMissouri,Donald Trump,Donald Trump is on track to become the worst jobs president in modern American history.,donald trump track become worst jobs president modern american history,-0.26666666666666666,Neutral
traceygaughran,Donald Trump,Lil Jon has the BEST response when asked to support Donald Trump's re-election like Lil Wayne and Lil Pump.  …,lil jon best response asked support donald trumps reelection like lil wayne lil pump,1.0,Positive
_ericroyer,Donald Trump,Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via,pollak shining successes president donald trumps first term via,0.25,Neutral
SFinEville,Donald Trump," So much time and energy squandered because we entrusted the White House to the most corrupt, incompetent person imaginable.…",much time energy squandered entrusted white house corrupt incompetent person imaginable,-0.16249999999999998,Neutral
SampleATL,Donald Trump,The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached…,fbi investigating hunter bidens overseas business deals december donald trump impeached,0.0,Neutral
BlancheBullshit,Donald Trump,GOD BLESS THE U.S.A. AND PRESIDENT DONALD TRUMP ** BLANCHE  via,god bless usa president donald trump blanche via,0.0,Neutral
OMAHAGEMGIRL,Donald Trump," A fake ""intelligence"" document about Hunter Biden that was later disseminated by close associates of President Donald…",fake intelligence document hunter biden later disseminated close associates president donald,-0.25,Neutral
BlancheBullshit,Donald Trump,GOD BLESS THE U.S.A. AND PRESIDENT DONALD TRUMP ** BLANCHE  via,god bless usa president donald trump blanche via,0.0,Neutral
