user,Subject,text
PR4GM47IC,Donald Trump," If you want to primary Biden &amp; Harris in 2024 after they beat Donald Trump, your best bet is to join the #YangGang, &amp; we'd l…"
jeffl76,Donald Trump," . endorses #BidenHarris2020, stating that they will “restore steadiness and civility to the White House, and thus…"
Karen10290453,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
Cozy1950,Donald Trump," “This is the entire Republican strategy in 2020: not to win the election but to make the winner unknowable, so that Trump ca…"
WREN_Nigeria,Donald Trump,The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached…
JerryTravone,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
cindy_mcphee,Donald Trump,💥 POLL 💥Who are you voting for in the Presidential Election?President Trump already has my vote👍…
MarySager0622,Donald Trump,There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
sunshine_toni,Donald Trump,America’s reputation abroad has plunged during Donald Trump’s presidency. Confidence that he will do the right thing in w…
armanwalker,Donald Trump,Fact check here:
RGinHarlem,Donald Trump,Please tell me y’all aren’t taking Lil Wayne seriously! Donald Trump said that he loves ❤️ the uneducated this is not surp…
LesterMoe6,Donald Trump,Fascist greedy grifter Trump screws the middle class and poor again 🤬👉he wants to completely unleash greedy corporations — and…
CiAnDy3,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
BARB4TRUMP,Donald Trump,Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via
Jason_9905,Donald Trump,Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via
audiojoe13,Donald Trump,. on Lil Wayne endorsing Trump: “I’m really sick of you gremlin degenerates who come out here and push…
1473music,Donald Trump,There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
Pagecamper1,Donald Trump,This is Donald Trump’s last Thursday as president.
WilliamMMcKee,Donald Trump,Remember... it’s not just Donald Trump being voted out.... it’s his entire family and garbage administration that’ll be ki…
DianeEugenio,Donald Trump,Donald Trump has not seen it as his duty to represent the majority of Americans who did not vote for him. Joe Biden would…
ResistOrganize,Donald Trump,‘Shoot Black People’ is the battle cry Right Wing Extremists chant in the name of Donald Trump.  Is this the kind of g…
louisfarber,Donald Trump,"“The document, a 64-page composition that was later disseminated by close associates of President Donald Trump, app… "
ForsmanJustin,Donald Trump,Three Ballots turned in tonight for Justin Forsman and Donald J. Trump.
redirectloop,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
fbelad,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
DianeEugenio,Donald Trump,Those who didn't vote in 2016 are showing up early in droves — and more are Democrats.
cindy_mcphee,Donald Trump,💥 POLL 💥Who are you voting for in the Presidential Election?President Trump already has my vote👍…
2013_Lynne,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
ChristopherOrp1,Donald Trump,Mainstream media and their friends in Silicon Valley have covered up and actively suppressed the Hunter Biden corruption…
PMIA7,Donald Trump," Trump is going to try to make his re-election his final giant con, losing the election but keeping the presidency. Massive l…"
Freedom77027217,Donald Trump,“My choice in the 2020 general election is between a personally offensive outsider who signs good policies into law and a…
NadelleWilson,Donald Trump," CIVIL FRAUD INDICTMENTS LIKELYWith SCOTUS opening the complete tax record to SDNY, an immediate charge is predicted. #…"
NomadCovfefe,Donald Trump,Mainstream media and their friends in Silicon Valley have covered up and actively suppressed the Hunter Biden corruption…
LOYALFAN1,Donald Trump,NEW VIDEO! #PleaseSaveTheseChildren  If you don't have a bright line for crimes against children you don't have a line.…
margaretjg24,Donald Trump," ""It's like a gangster culture,"" Robert De Niro says of Donald Trump's presidency. ""He has no concept about what the right thing…"
mediccaptfm,Donald Trump,Pissed off young people have the power to defeat Donald Trump. Fucking vote.
Patrick19372738,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
IamLucyRicardo,Donald Trump,Fox News cut away from Donald Trump's campaign rally in Florida and aired Joe Biden's campaign rally speech in full.
Jesseba67848426,Donald Trump,Donald Trump 2020 the best President ever.
Cuds_1246,Donald Trump,Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via
ASatMV,Donald Trump," It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascist…"
Lauryn2000,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
BurnsBuLinda91,Donald Trump,The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached…
wbtegra,Donald Trump,There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
shrstraker,Donald Trump,"Jack Nicklaus Says He Voted For Donald Trump, Encourages Others To As Well If They Don’t Want Country To ‘Evolve In… "
cindy_mcphee,Donald Trump,💥 POLL 💥Who are you voting for in the Presidential Election?President Trump already has my vote👍…
kmctee,Donald Trump," In conjunction with The Lincoln Project, San Antonio Spurs' Gregg Popovich--who has been an outspoken critic of President Do…"
JoeForMissouri,Donald Trump,Donald Trump is on track to become the worst jobs president in modern American history.
traceygaughran,Donald Trump,Lil Jon has the BEST response when asked to support Donald Trump's re-election like Lil Wayne and Lil Pump.  …
_ericroyer,Donald Trump,Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via
SFinEville,Donald Trump," So much time and energy squandered because we entrusted the White House to the most corrupt, incompetent person imaginable.…"
SampleATL,Donald Trump,The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached…
BlancheBullshit,Donald Trump,GOD BLESS THE U.S.A. AND PRESIDENT DONALD TRUMP ** BLANCHE  via
OMAHAGEMGIRL,Donald Trump," A fake ""intelligence"" document about Hunter Biden that was later disseminated by close associates of President Donald…"
BlancheBullshit,Donald Trump,GOD BLESS THE U.S.A. AND PRESIDENT DONALD TRUMP ** BLANCHE  via
anorsowrthy,Donald Trump," BREAKING:  Donald Trump just called the process of counting all the votes, ""stealing an election.""How can anyone suppo…"
Bobbyda61728236,Donald Trump,Already cast my vote for Donald Trump
SPQ_ESQ,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
JWC0506,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
GailReeb,Donald Trump,Fox News cut away from Donald Trump's campaign rally in Florida and aired Joe Biden's campaign rally speech in full.
JoshPainter2154,Donald Trump,It’s very on brand with today’s Republican Party to choose a MAGA rally with Donald Trump over a much larger television audien…
maudlinaly,Donald Trump,‘It is currently unclear whether Facebook is giving Donald Trump an unfair advantage..but it is abundantly clear Facebo…
rogueMrsJ,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
XrstnSaintPhoto,Donald Trump,Donald Trump has gotten:-$885 million in subsidies for his real estate empire-$287 million of his debt canceled-A $72.9…
marchmatron,Donald Trump,Remember... it’s not just Donald Trump being voted out.... it’s his entire family and garbage administration that’ll be ki…
RadioShawnSC,Donald Trump,Lil Wayne Praises Donald Trump Over ‘Platinum Plan’ Meeting
shrstraker,Donald Trump," Jack Nicklaus Says He Voted For Donald Trump, Encourages Others To As Well If They Don’t Want The Country To ‘Evolve Into…"
adorbdeplorb,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
amyglumpkin,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
Charleysgirl_23,Donald Trump,“My choice in the 2020 general election is between a personally offensive outsider who signs good policies into law and a…
martfluck,Donald Trump,At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine…
ZeroSkillZack,Donald Trump,"Oof, y’all really hurt behind this Lil Wayne &amp; Donald Trump situation huh? I’m gonna let y’all figure out what’s wrong with yourself.."
evabai,Donald Trump,Donald Trump is talking about China again.A reminder.#TrumpMadeInChina
annita_bowman,Donald Trump,Unraveling Lindsey Graham takes bizarre shot at Donald Trump
BrianTr03923678,Donald Trump,"Wait until people like LIL John and LIL Wayne get pushed by the left to get ""WOKE"" and denounce Donald trump, becau… "
sweeterthanhon,Donald Trump,There is no democracy under Donald J. Trump
kat_pep_,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
a2g1215598,Donald Trump,Fox News just cut off Donald Trump and aired Joe Biden instead
PeabsLord,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
Beto4US,Donald Trump," Philly DA Throws Down Over Trump Poll Watchers: We Won't Be Cowed By A 'Despot'. “Break the law here, and I’ve got somet…"
CheviotCourt,Donald Trump,Donald Trump is something much worse than an apparent sociopath or psychopath. He is man without a personal life narrat…
shrstraker,Donald Trump,Former NFL Quarterback Jay Cutler Shares Jack Nicklaus’ Endorsement Of President Trump  via
aeharris2017,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
ArmyMcCarthy,Donald Trump," “This is why we, two Orthodox American-Israelis and former IDF soldiers who care deeply about Israel’s safety, will be vot…"
swinging_volley,Donald Trump," No one deserves a more thorough drubbing on Election Day than Donald Trump.Well, maybe Lindsey Graham does,&amp; Mitch McC…"
mwamsley5,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
Sissymoon1956Ce,Donald Trump," Philly DA Throws Down Over Trump Poll Watchers: We Won't Be Cowed By A 'Despot'. “Break the law here, and I’ve got somet…"
Stevens18Clint,Donald Trump," Donald Trump, Boris Johnson and Peter Dutton have all had COVID-19. Has any one of them come out and said; “This is a hor…"
LOYALFAN1,Donald Trump," I did NOT fight cancer twice and win, battle Lupus every day to live through 4 more years of Donald Trump.He will DEST…"
annita_bowman,Donald Trump,Unraveling Lindsey Graham takes bizarre shot at Trump
Mystiqu49215835,Donald Trump,The Independent:  airs 80-second supercut of 's racist remarks over the past 30 years.…
GaryRiggsJr,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
GrandmaTayters,Donald Trump,Those who didn't vote in 2016 are showing up early in droves — and more are Democrats.
666outKast,Donald Trump," Donald trump, Elon musk and Jeff bozos"
Markdugi21,Donald Trump,Lil Wayne has just endorsed Donald Trump.
PAGilchrist,Donald Trump,An American President attacking American democracy in advance of an election has simply never been seen before. But Donald T…
chrisanthony888,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
auggie_dawgy,Donald Trump,Wisconsin voters are already furious at how their state politicians are handling—or not handling—coronavirus. Now they g…
BonusCup918,Donald Trump," We are going up on radio in small, African American communities in Florida – places that neither party pays much attention…"
shrstraker,Donald Trump,Former NFL Quarterback Jay Cutler Shares Jack Nicklaus’ Endorsement Of President Trump
SanDeDoBee,Donald Trump,"  Donald Trump called Democrats and the media ""the enemy"" from the start.  How do you expect Democrats to view…"
thefreaknlady08,Donald Trump,Those who didn't vote in 2016 are showing up early in droves — and more are Democrats.
kat_pep_,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
Jacob_the_lier,Donald Trump," ""President Donald Trump has refused to say he’d accept the results of the election in the event that he… "
modderman_rick,Donald Trump,It’s hard to believe that the people who raised us to never be like Donald Trump are the ones supporting Donald Trump.
jeffalford,Donald Trump,David Letterman calling Donald Trump a straight-up racist. In 2012...
Midnigh88205576,Donald Trump,The same political party that impeached President Donald Trump over a phone call about Joe Biden’s foreign corruption is…
Aringr,Donald Trump," Philly DA Throws Down Over Trump Poll Watchers: We Won't Be Cowed By A 'Despot'. “Break the law here, and I’ve got somet…"
Pamela_Wa,Donald Trump,Donald Trump is on track to become the worst jobs president in modern American history.
LaneZane1,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
Kevin_C_ONeil,Donald Trump," Trump is going to try to make his re-election his final giant con, losing the election but keeping the presidency. Massive l…"
ScoularHails,Donald Trump,Please tell me y’all aren’t taking Lil Wayne seriously! Donald Trump said that he loves ❤️ the uneducated this is not surp…
TheRealDidiU,Donald Trump,Show this clip to all of the people you know who support Donald Trump and claim he isn’t a racist.Decades of documentatio…
BrettF02654736,Donald Trump,Tell me again how M4A controlled completely by the Executive Branch (Donald Trump) is an improv…
jainormis,Donald Trump,I think Donald trump now 🙄🔫🌽
OhioBeeBee,Donald Trump,"  I want my future son to grow up to be like Donald or Eric Trump, not Hunter Biden."
quiktrip10,Donald Trump,There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
pamelamarie2009,Donald Trump,Lil Wayne has been to prison. Donald Trump is headed there.
rei_c,Donald Trump," MAJOR BREAKING NEWS (UPDATE): As Donald Trump Falsely Declares That America ""Has Turned the Corner"" on COVID-19, Back in…"
nana13bug,Donald Trump,The Russian government interfered in the 2016 U.S…
FuzzyDunlop32,Donald Trump,Remember... it’s not just Donald Trump being voted out.... it’s his entire family and garbage administration that’ll be ki…
BellGwyneth1981,Donald Trump,Americans plan widespread protests if Donald Trump interferes with election || Via: Reuters
Kat_hy2019,Donald Trump,It’s 2:30 in the morning and Donald Trump is completely melting down right now
kmctee,Donald Trump,An American President attacking American democracy in advance of an election has simply never been seen before. But Donald T…
rcarey912,Donald Trump," Florida and already voted for the only choice, Donald J. Trump!!!!!"
Susan44489808,Donald Trump,Civil rights leader and Christian activist Rev. William Owens endorsed Donald Trump for president. …
WilliamMMcKee,Donald Trump," Donald Trump cancelled his racist pep rally in NC because of wind. Trump is terrified of wind, weather and women. 😂 🤣 😂"
Kenneth34900979,Donald Trump,Go vote for Mr Donald J Trump today
kelly_riedell,Donald Trump,NEW VIDEO: The U.S. is the oldest continuous democracy in the world. Trump is the first president in history to refuse…
Re_mark_ab1e,Donald Trump,NEW VIDEO: The U.S. is the oldest continuous democracy in the world. Trump is the first president in history to refuse…
IamLucyRicardo,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
leaciah,Donald Trump,Unraveling Lindsey Graham takes bizarre shot at Trump
JBellSATX,Donald Trump,Show this clip to all of the people you know who support Donald Trump and claim he isn’t a racist.Decades of documentatio…
sighkey,Donald Trump," MAJOR BREAKING NEWS (UPDATE): As Donald Trump Falsely Declares That America ""Has Turned the Corner"" on COVID-19, Back in…"
Kenneth34900979,Donald Trump,Go vote for Mr Donald J Trump today
ddk112250,Donald Trump,Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via
momma_dailey,Donald Trump," The Economist’s Zanny Minton Beddoes:“If we have another four years of Donald Trump, the America that the world has come to se…"
annita_bowman,Donald Trump,It’s 2:30 in the morning and Donald Trump is completely melting down right now
bronsonTKO,Donald Trump,NEW VIDEO! #PleaseSaveTheseChildren  If you don't have a bright line for crimes against children you don't have a line.…
eliosc,Donald Trump,“My choice in the 2020 general election is between a personally offensive outsider who signs good policies into law and a…
Ulianita08,Donald Trump,Thanks to the incompetent Donald J. Trump:Over 23M Americans are on unemployment.Tens of thousands of sma…
ajserino,Donald Trump,"With COVID-19 raging out of control in Wisconsin, it has become imperative for voters to tell Donald Trump… "
cabcbg,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
pastorrob2020,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
RogerKnisely,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
RetroBaseNgames,Donald Trump," Golf legend Jack Nicklaus endorses Trump for re-election, calls him ""more diverse"" than any president he's seen  …"
mvmblackdogs_g,Donald Trump,America’s reputation abroad has plunged during Donald Trump’s presidency. Confidence that he will do the right thing in w…
Tikursewe,Donald Trump,Donald Trump promised he would:❌ Make Mexico pay for his wall❌ Announce a health care plan❌ Pass an infrastructure bill…
wxyzdetroit,Donald Trump," ""Failed RINO former Governor Rick Snyder of Michigan was a disaster with respect to the Flint Water CATASTROPHE, and a…"
ivorroy,Donald Trump,"  I don’t want Hunter Biden’s laptop. I want Donald Trump’s taxes, his medical records, Ivanka’s and Jared…"
GrondaMorin,Donald Trump," A 64-page document disseminated by associates of Donald Trump appears to be the work of a fake ""intelligence firm.""…"
